s.no,age,division_name,department_name,class_name,clothing_id,title,review_text,alike_feedback_count,rating,recommend_index 
7780,54,General Petite,Dresses,Dresses,1095,Petal perfect!,Lovely statement shift. sweet and sophisticated at the same time. the lightweight knit drapes nicely over one's figure. my store showed it paired with a collared cream-white blouse for alternative styling. i know i'll be experimenting with solid tees.,4,5,1
14653,26,General,Dresses,Dresses,1078,Buy it!,"This dress is amazing! ordered one with a discount (the dark blue with flowers print) and it was becoming my go-to for work so had to bite the bullet and order two other colors full price. size m fit perfect 5'7"" 150#",0,5,1
545,47,General Petite,Tops,Blouses,829,So cute!,"I love this top - it is the cutest top i've purchased in a while. the colors are so fun and the cut is flattering. it will go with plenty and will work for day and night, for work and on weekends. you need to get this top before it sells out. retailer please get this top in more patterns!!",0,5,1
6881,63,General Petite,Tops,Blouses,841,"Beautiful top, worth the necessary tailoring","The beautiful bold print drew me to this top and it did not disappoint upon receipt. however, the bottom ruffle belled so far out on each side that it was laughable! the actual fit is nothing like the picture; clearly the model's arms are placed in front of all the extra fabric to hold the ruffle back.
however, the fabric is beautiful, the fit was perfect (size 2, 5'4"", 106 lbs.), the quality is great and i love the print so i decided to take it to my tailor to ""sew away"" the ""wings"" on both si",15,4,1
19883,33,General,Dresses,Dresses,1089,Love this dress!,Beautiful dress that is very flattering! wearing it to my bridal shower.  more appropriate for spring or summer!,0,5,1
3402,36,General,Dresses,Dresses,1077,,This fits like a dream! the almost three quarter length sleeves are perfection. worth every penny!,3,5,1
19214,48,General,Tops,Sweaters,947,Beautiful sweater but not flattering on me,"Really wanted this to worked for me. ordered the s in ivory (the color i really wanted but xs was sold out) and the xs in cedar.  loved the knit and look and quality but the sweater was boxy and huge even in xs.  not flattering on my petite frame (5'2"", 115#).  so disappointed as i've been looking for a non-wool sweater like this.",0,3,1
16285,61,General Petite,Bottoms,Pants,1059,,Fabric much heavier than looks in picture. also nothing mentioned in the description. great color and fit but i live in florida.,0,2,0
3463,32,General,Tops,Knits,868,Gorgeous white summer tank,"I got this in white and was surprised to see that it fits me. i am very petite but with a 32d bust and purchased the xxs. this fit me perfectly! the fabric is soft and kind of silky, the straps were not too long, the hem hit just at my hip line. i am buying the other color!",0,5,1
20008,39,General,Tops,Sweaters,936,"Pretty, but buttons stand out too much.","I like this coat, especially the collar and cuffs. but the buttons were too eye-catching for me. i wanted something more subtle. still, i recommend the coat.",2,4,1
6839,28,General,Tops,Knits,882,Cute variation on a t shirt,"I just got this shirt the other day, and already love it. it fits like a basic tee, but the details on the sleeves and back are really cute. the shape is loose at the bottom, which makes this really comfortable.
my only complaint is it's a little tight across the back, but this does not hurt the overall fit and comfort of the top. this is a little thicker than a tee shirt too, so the quality feels nice.",10,4,1
14128,72,General,Tops,Knits,868,Blah,"I just received my back-ordered wildberry top in blue. it's not blue but instead a dull, mottled purplish hue. it looks like a well-worn, stretched out tee shirt with a tired ruffle along the bottom. so disappointing. it's going back for sure.",0,2,0
18812,27,General Petite,Tops,Knits,862,Love this sweater; no need to dry clean,"I love this sweater. i purchased it in the red/berry color. it is so incredibly soft and cozy and the fit is fantastic! it hugs my curves in all the right places! i purchased it without even looking at the care instructions. but, after reading a couple of reviews here, i opted to wash on delicate and line dry. it came out perfectly!",4,5,1
18414,31,General,Tops,Blouses,834,Great blouse!,"This blouse is not only flattering, but a great way to dress up a pair of jeans! fits well, but a big tight around the arms, had to go up a size.",0,4,1
9346,49,General,Bottoms,Pants,1045,,Love love love...the fit is amazing and truly well made. this jumpsuit is a classic and it fits perfectly. i just wish the button was a little bit more secure but other than that it's a 10,6,5,1
21973,33,General,Tops,Blouses,828,Perfect white button down,"First, this picture does not do this shirt justice. in fact, the hanger does not do this shirt justice. you must try this shirt on! it drapes so well. not as soft as some cloth & stone tops, but it is still very soft. the slightly stiffer feel makes it easier to dress up. there's no pockets, which is nice in a button down. it drapes in a very flattering way. i've never been happier with a cloth&stone garment. i normally wear a small in this brand, and that is true for this top as well. however,",29,5,1
15531,46,General,Dresses,Dresses,1094,"Cute, but no sale",The dress arrived with a few snags and the fabric already pilling. the fabric will only get worse with wear. return. cute concept; poor fabric quality.,0,2,0
4810,34,General Petite,Tops,Knits,873,Lovely lace design but sheer,"An retailer associate gave me this to try on since i love white clothing and lace. i tried on a large for my 5'9"", 36c. hourglass frame and found it to be a tad large and probably could go down a size. my thoughts are....
_______________
pros:
- breathable and comfortable fabric due to cotton/linen blend.
- lace detailing at the top is lovely.
- runs tts except i found the arms ran a tad small (and i have smaller circumference). but there's enough stretch.
_______________
cons:
- extremely sheer!",24,4,1
20452,58,General,Tops,Blouses,836,Great shape stiff fabric,"Love the shape of this top and often look to retailer for corset-style summer tops that are pretty. this top is made from a thick, stiff fabric that doesn't breathe. so my usual size xxs was too constricting. tried an xs also and it basically fit but i still wasn't a fan of the very heavy fabric in a summer top. it's almost like a neoprene. the colors are an odd choice and not my favorite either. i wanted to see in person and they just don't cut it for me. would love in different colors and softer",5,3,0
1785,53,General Petite,Tops,Sweaters,927,Huge,I was surprised retailer decided to ship this sweater. the sweater looks like it's falling apart and it is huge. i would not recommend this even at a clearance price.,1,1,0
14611,44,General,Dresses,Dresses,1086,So flattering!,"This dress fits and flatters a curvy silhouette. size medium length is perfect for my 5'7"" frame. utterly comfortable and so many compliments!",0,5,1
1657,72,General Petite,Tops,Knits,861,Quality fabric,"Color was a perfect match for the linen slacks i wanted to pair it with, however the top was way, say too big so i'll be sending it back.",2,5,1
8369,34,General Petite,Tops,Blouses,834,Love it!,This is a great top. runs tts. looks great with cropped skinny jeans and booties or wedges in the spring.,10,5,1
14959,43,General,Tops,Knits,863,Great shirt,"Bought this shirt in the black. runs tts, very comfortable and flattering. past left of center shirts in this style/fabric seem to run a little large, but i bought this in my usual retailer m, and it's great. very similar to last years style, but perhaps a tad more fitted. i gave it a 4 for quality b/c i have noticed a little bit of pilling under the arm area, but overall, it holds up pretty well.",3,5,1
14071,49,General Petite,Dresses,Dresses,1081,,Purchased this item on sale-received it and it had two huge holes on the side.not possible to repair. very disappointed in lack of quality control. :(,0,1,0
17990,65,General Petite,Tops,Sweaters,936,Fun sweater,"This sweater was exactly what i was hoping for. it is true to size. it actually is cozy, which i love in the winter. the color is so pretty. the quality is good. it is fun and stylish. i do recommend it.",0,4,1
1449,35,General,Tops,Knits,861,Nice t-shirt!!,"This is a very nice quality t-shirt. i loved the material & colors. i got it on sale and the only reason i had to return it because it was small on me. due to the nice sale, another size was not available.",0,5,1
1786,40,General Petite,Dresses,Dresses,1094,Beautiful fun dress,This is a great fun dress! it's very unique and well built. my only complaint is that the colors are not the same in the photo. the real colors are black on top and a bright red with shiny torquoise thread running through it. it's still gorgeous!,0,5,1
13566,36,General,Dresses,Dresses,1094,"Loved, but unsure about quality","I loved this dress the minute i tried it on and am actually really sad that i had to return it. however, the embroidery was unraveling in several places before i'd even worn it, so i thought it would probably only get worse. too bad because it's gorgeous and flattering!",0,3,1
12932,48,General,Tops,Blouses,833,Lovely romantic blouse,"This is one of those you have to try it on to appreciate the lovely unique design. it is a very unique, flowing, romantic piece. it is sheer and i would wear a nude camisole underneath. i am normally a size small and bought a size 2 (i tried on a 6 in the store just to see what it looked like, fell in love with the look and the retailer associate recommended i buy a size 2). love it!",0,5,1
23132,60,General,Tops,Blouses,835,Black muted camisole,Excellent quality! i love this camisole with it's muted shades of black. based on other reviews i sized down from my usual 4 to a size 2 and the fit was perfect and no problems with the straps being to long. a keeper!,4,5,1
17926,39,General,Bottoms,Skirts,999,Not exactly what i expected,The fabric is very thick and textured almost like upholstery and has no give to it.  the zipper is a little tricky to get all the way up because of the fabric thickness. i looks cute and holds its shape. it may run a touch small because of the fabric. the colors are great though and i really like it.,1,4,1
4843,49,General,Tops,Sweaters,952,The birds and the beads!,"This cardigan is not my usual color choice, but the details were so beautiful i had to buy it when i saw it at the store. the birds and flowers are detailed with sparkly little beads that are prettier in reality than you can see in these photos. it's also a versatile piece that can be worn in many ways and dressed up or down. i'm only 5'1"" but i didn't need the petite (which is good since it is sold out in petite). the sleeves are cropped so they don't hang too low for me. the sweater is hand wa",0,5,1
21194,31,General Petite,Dresses,Dresses,1078,Perfect!,This dress is super flattering. i love everything about it!,1,5,1
21626,31,General Petite,Tops,Blouses,815,Great top,"I love this top, the detail and embroidery make it great for during the day or at night. the small fits me perfect and i don't wear it with a camisole like some have mentioned, but might if i wore it to work",0,5,1
18971,53,General,Tops,Blouses,829,Great weekender!,"This is about the cutest thing since...well i don't know but it's pretty cute. yes, i agree with the other reviewer who said it looked better in hand than on the web! has cute, soft ruffle just above hip and the stripes are soft pastels. the buttons at the nape of the neck are sweet. there's the word-sweet-that's the perfect descriptive for this quirky, laid back, feminine piece. tts-nothing weird or uncomfortable about the fit but it does seem a bit shorter than the picture shows. i am 140 lbs",0,5,1
6697,37,General Petite,Jackets,Jackets,984,Pilcro is king at denim jackets!,"I've owned a number of pilcro denim jackets it in my day. not because they've ever needed to be replaced, but because i'm obsessed with the fit, the color and the style. when i saw this one i knew it would be no exception! this jacket is even cooler looking in person. the fade on the denim is totally perfect. not too dark, not too light...and not so distressed that it looks sloppy. the denim is soft just like all other pilcro, and the fit is a dream. what i love the most is the interest in the c",5,5,1
13103,30,General Petite,Tops,Knits,862,Love this top,"I sized up to a medium from a small and was glad i did. the top drapes nicely and the fabric is soft. 

5'7"" 140 lb 32 b, usually a small on top.",2,5,1
8128,34,General,Jackets,Jackets,984,Perfect fall jacket,"Loved this from the minute i saw it in an email. i got the blue grey in a medium. i'm 5'4"", 140. it's a little roomy but will be nice over sweaters too. i love the cropped length. really well made.",0,5,1
2155,29,General,Jackets,Jackets,986,,"Beautiful fabric! unfortunately, i had to return it. after just one wear, it had pills all over the side. fabric is too delicate. sad to return!",1,2,0
20495,28,General,Tops,Sweaters,936,Beautiful design but not great quality.,"I'll start with saying that it's a beautiful coat- i get tons of compliments and love the color. it runs a little big but it's meant to have to a slouchy, oversized quality to it. my only complaint is that i've had it for about 3 weeks and already one button has completely fallen off and the two inside fasteners already feel loose and very delicate. there's no extra buttons to replace the old one with and i'm worried more of the coat is going to fall apart. super bummed about the construction qu",4,3,1
2736,48,General Petite,Dresses,Dresses,1095,Great dress.,This is an adorable dress. medium weight. i highly recommend.,3,5,1
7288,47,General,Jackets,Jackets,985,Excellent sweater jacket,This sweater jacket is beautiful. the picture doesn't do it justice. works very well with a tank underneath and a skirt or over a knee length dress. wore with boots and received many compliments. it's classy.,2,5,1
13880,44,General Petite,Dresses,Dresses,1077,"Magically lovely, but examine before you buy","I ordered this on line first, but i really recommend getting to a store to look at them closely! due to the fact that the first dress, the embroidered lines were not sewn level on the bottom horizontal stripe areas, and the fact that they didn't meet made me feel it wasn't worth anywhere near the price! i feel you can sort of see this in the stock photo, although it may be just the way it's hanging. also, many of the center areas of the embroidered flowers and designs have a loose, unfinished th",2,4,1
18328,46,General,Tops,Knits,861,Very poor quality,"I ordered this top in white along with the meadow rue lace sleeve top. while they are the same price, they aren't even close in quality. this top is one of the sheerest tops that i have seen. the trim, pocket and the lace-up tie are made from sheer type material that was twisted and didn't lay right, and the tag sewn inside, was sewn with red thread and showed through, very visible. i don' t think it would hold up after many washes. i returned this one and ordered another color in the lace sleev",1,2,0
1637,19,General Petite,Dresses,Dresses,1078,So cute but quality not good,"This dress is so cute and so flattering. i loved the shape, but i wore it wonce and the fabric was pulling on everything! just holding a purse while walking managed to pull out a ton of the fabric! when you spend so much money on something you think the quality would be better..",17,3,0
2207,57,General,Dresses,Dresses,1110,,"I love this dress! good for work or social occasions. flowy fabric, and not boxy. the length is perfect, not too short.  i can't wait to wear it. picture is accurate as to color.",0,5,1
4579,40,General,Tops,Sweaters,949,Not as great as the photos,"I love mixed media clothing, and this is no exception. i fell in love with this right away, and after being torn between the two colors, opted for the rose. it's very gorgeous in person - midweight and very soft. however, as soon as i put it on, i noticed the knit sides truly flare out; they don't lay nicely like on the model. it could be because of my large chest (36dddd), but everything below the chest seems to widen me. it might work better on someone with a straighter build or smaller chest.",2,4,1
3205,23,General,Dresses,Dresses,1086,Comfy and flattering,"The fabric is more sweater-like than it appears in the image, but it makes the dress both cozy and comfortable. the skirt is a faux wrap that's secured at the waist by the tie. overall, the dress is high-quality, true to fit, and very flattering.",0,5,1
14759,46,General,Jackets,Jackets,960,Vest love!,"I like this layer for fall for many reasons. first of all, the color is a beautiful fall color. the design of the vest is flattering when wore with skinny jeans or leggings. the weight of the vest is perfect for the cooler weather. it is not too heavy, it's fairly lightweight. i am a size 6 and the small fit perfectly.",0,5,1
2255,61,General Petite,Dresses,Dresses,1078,Enormous,I ordered a size 0. the dress was extremely large. i am 5'2 and weigh 110. i guess you really must be 5'9 like the model to wear this dress. such a shame..,7,3,0
21149,33,General,Bottoms,Jeans,1022,Perfect flare,"I have been hunting for a pair of high rise flares that have significant width at the bottom and these are perfect. i love the vintage silhouette and how they make your legs look a mile long and i adore how they open wide enough to cover my shoes, not to mention being long enough for me to wear a 3.5"" heel and still skim the ground. for reference, i'm 5'8 140lbs with super long legs and straight athletic build. i sized up to a 30 which is usually for me in ag jeans so for the brand, they run tts",2,5,1
4328,51,General,Dresses,Dresses,1110,"Beautiful fabric, irregular fit","The fabric and color are absolutely beautiful. the shape of the dress is strange - fitted and tight through the waist, and enormous everywhere else. it was not flattering.",0,2,0
18212,41,General Petite,Dresses,Dresses,1100,Irresistible,"I broke my rule of not buying polyester for this dress, twice (helped by sale price with additional percent off promo). it's mainly the irresistible print, i bought it in both the lovely blue-pink floral and the patterned red. love it. works best when the weather is in upper 60s, with tights and boots, but i think it will also work with bare legs and clunky sandals when the weather is warmer. the fit is loose except for in the chest and shoulders, so don't size down. i do wish the fabric was not",0,5,1
19421,33,General,Tops,Knits,863,Good tee but not the same as past version,"Loved the version of this loc top that retailer carried two years ago (or was it three?). was thrilled to see what looked like the same top and was called the same name ... but it's just not the same. length is too short, body is too wide, and even the fabric seems to be lower quality. disappointing, but i still bought more than one color.",0,4,1
